color,text
Green,whenever bioplasm attack exile top card library creature card bioplasm get plusxandplusy end turn x exiled creature card power toughness
Red,bloodthirst opponent wa dealt damage turn creature enters battlefield plusandplus counter
Black,exile target land
Green,target creature flying loses flying end turn crash landing deal damage creature equal number forest control
Black,exile target card graveyard draw card
Black,target player discard card haunt spell card put graveyard resolving exile haunting target creature creature cry contrition haunt dy target player discard card
Black,exile two creature card graveyard target player discard card activate ability time could cast sorcery
Blue,crystal seer enters battlefield look top four card library put back order bluemana return crystal seer owner hand
White,x tap creature converted mana cost x attack block turn
Blue,bluemana sacrifice creature discard card draw card
Green,nonbasic landwalk creature blocked long defending player control nonbasic land
Green,land get plusandplus long creature
Black,haunt creature dy exile haunting target creature exhumer thrull enters battlefield creature haunt dy return target creature card graveyard hand
Red,enchant creature creature control enchanted get plusandplus first strike
Blue,counter target nonblue spell
Green,gatherer grace get plusandplus aura attached sacrifice aura regenerate gatherer grace
White,exile creature control return card battlefield owner control beginning next end step
Blue,replicate bluemana cast spell copy time paid replicate cost may choose new target copy tap target permanent
White,flying haunt creature dy exile haunting target creature graven dominator enters battlefield creature haunt dy creature ha base power toughness end turn
Green,bloodthirst opponent wa dealt damage turn creature enters battlefield plusandplus counter sacrifice gristleback gain life equal gristleback power
